no.;code;fragebogen;entry TBS;deputat FBS;deputat Vollzeit FBS;jobscope FBS;Übereinstimmung jobscope;Arbeitszeit TBS;Arbeitszeit WR;Arbeitszeit FBS;deputat;deputat_full;jobscope;jobscope FBS2;jobscope TBS;Spalte1;age_tbs;age_fbs;age_Übereinstimmung;age;gender_tbs;gender_fbs;Änderung gender;gender
98;A47LWTD2PG;1;100,00;27,00;27,00;100,00;1;#BEZUG!;#BEZUG!;50,00;27,00;27,00;100,00;Nein;;Prüfen;45;46;1;46;1;2;;1
99;A5NA278UX7;2;88,00;Leitungsfunktion;Leitungsfunktion;88,00;1;#BEZUG!;#BEZUG!;45,00;Leitungsfunktion;Leitungsfunktion;88,00;Nein;;Prüfen;47;48;1;48;2;1;;2
100;A6GDAWQT2E;1;"60; 59";16,00;27,00;59,26;1;#BEZUG!;#BEZUG!;43,00;?;?;59,26;#WERT!;;#WERT!;44;45;1;45;1;2;;1
101;A6M3VK7TGT;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;50,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;55;56;1;56;1;2;;1
102;AAR99WRGF6;1;60,00;16,00;25,00;64,00;0;#BEZUG!;#BEZUG!;26,00;?;?;?;Nein;;Prüfen;39;40;1;40;1;2;;1
103;ACDY8TG3BX;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;54,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;57;57;0;57;2;1;;2
104;AD6X6A4LVT;1;100,00;18,00;25,00;72,00;0;#BEZUG!;#BEZUG!;45,00;?;?;?;72,00;;Nein;40;41;1;41;1;2;;1
105;AGQK3XNGRK;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;50,00;25,00;25,00;100,00;Nein;;Prüfen;34;34;0;34;2;1;;2
106;AH435FDA2H;1;100,00;24,90;25,00;99,60;0;#BEZUG!;#BEZUG!;55,00;?;?;?;Nein;;Prüfen;32;33;1;33;2;1;;2
107;AKVDTKU1U6;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;54,00;25,00;25,00;100,00;Nein;;Prüfen;54;55;1;55;1;2;;1
108;AKZB84P4D5;1;100,00;27,50;25,00;110,00;1;#BEZUG!;#BEZUG!;55,00;27,50;?;110,00;Nein;;Prüfen;35;36;1;36;1;2;;1
109;AQDG3LHGBE;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;60,00;25,00;25,00;100,00;Nein;;Prüfen;51;52;1;52;1;2;;1
